lat_round,lon_round,jam_weight,event_count,total_duration,avg_duration,location_name,lat,lon,jam_score
54.66544,25.17332,5281.0,121,7450.0,61.570247933884296,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (iš centro),54.66543715743116,25.173316761427294,0.04178750173092521
54.66544,25.17343,10515.0,32,4305.0,134.53125,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos,54.665440894773866,25.173431321401015,0.08320310181796602
54.66549,25.23683,1005.0,13,1005.0,77.3076923076923,Savanorių pr. link Sanavorių pr.–Vilkpedės g. sankryžos (nuo centro),54.66549062504991,25.236827039298152,0.007952364938379062
54.66559,25.23692,1347.5,35,1925.0,55.0,Savanorių pr. link Savanorių - Vilkpėdės g. sankryžos (iš centro),54.665591153198314,25.236924179231547,0.010662499258174913
54.66565,25.23696,77.0,1,110.0,110.0,Savanorių pr. link Sanavorių pr.–Vilkpedės g. sankryžos (iš centro),54.66564952860642,25.236960969329992,0.0006092856718957093
54.6658,25.24837,87.5,1,35.0,35.0,Naugarduko g. link Naugarduko–Gerosios Vilties g. sankryžos (link centro),54.665803105182626,25.248372764274873,0.0006923700816996697
54.6659,25.23706,87.5,2,125.0,62.5,Savanorių pr. link Savanorių - Vilkpėdės g. sankryžos (iš centro),54.665897727349645,25.237057528679202,0.0006923700816996697
54.66591,25.17377,140.0,1,140.0,140.0,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos,54.66590877379232,25.173765777233026,0.0011077921307194715
54.66677,25.23745,450.0,2,180.0,90.0,Savanorių pr. link Savanorių pr.–Gerosios vilties g. sankryžos (į centrą),54.666769684015776,25.237445778312107,0.00356076042016973
54.66678,25.24787,170.0,3,170.0,56.666666666666664,Tūkstantmečio g. link Oslo g.,54.66678399845524,25.24787451153715,0.0013451761587307868
54.66701,25.24568,1727.5,15,715.0,47.666666666666664,Tūkstantmečio g. link Žirnių g.,54.66701470239718,25.245683704119806,0.013669363612984906
54.66729,25.24444,7342.5,50,2970.0,59.4,Tūkstantmečio g. link Dariaus ir Girėno g.,54.66728675750207,25.24444191869601,0.05809974085576942
