cluster,lat,lon,poi_count,cluster_area_km2,education,healthcare,leisure,other,religion,retail,transport,work,cluster_poi_density
182,54.6986405125,25.2112840875,8,0.014143676932067709,0,0,1,0,0,1,6,0,565.6237793343357
24,54.64078078571429,25.13547218571429,7,0.005,0,0,1,0,0,0,6,0,1400.0
161,54.70477845714286,25.235476014285716,7,0.008974110108509868,3,0,0,1,0,1,2,0,780.0216305973468
176,54.735063942857145,25.259990742857145,7,0.026782311095842923,1,0,0,0,0,1,4,1,261.36654058530894
43,54.64728417142857,25.10057792857143,7,0.02807317379823536,0,0,2,0,0,2,3,0,249.34836546482714
179,54.70876704285714,25.213989199999997,7,0.018836694472072625,1,0,1,0,0,0,4,1,371.61509469605903
169,54.68761872857143,25.290832385714285,7,0.015142098320413274,0,0,0,5,0,1,1,0,462.2873165843338
47,54.7588894,25.219123628571428,7,0.07682930425057431,0,0,0,0,0,3,3,1,91.11106846900378
137,54.66873987142857,25.234424257142855,7,0.015512651612004883,0,0,0,0,0,1,6,0,451.24458249180697
52,54.670650214285715,25.359606485714288,7,0.02810965921509121,3,0,1,0,0,1,2,0,249.02471945451106
192,54.73005918571429,25.215911057142858,7,0.01902368697556564,0,0,0,0,0,0,7,0,367.9623202900113
197,54.711960228571435,25.27754494285714,7,0.016640617631591716,2,0,0,0,0,0,5,0,420.65746326090135
105,54.69119991428572,25.29829895714286,7,0.005,1,0,0,0,0,2,1,3,1400.0
196,54.69026964285714,25.30660242857143,7,0.007630991399325802,1,2,0,0,0,0,4,0,917.3120022934962
120,54.67119552857143,25.221064685714286,7,0.00587294612381134,0,0,0,0,0,6,0,1,1191.9060472254496
109,54.67450564285714,25.20145132857143,7,0.006699632345480836,0,0,2,0,0,2,3,0,1044.8334533941663
57,54.63007158571429,25.12768492857143,7,0.06958903452688936,0,0,0,0,0,0,5,2,100.5905606765558
122,54.7077175,25.243770242857146,7,0.014942056172434786,1,0,2,0,0,0,4,0,468.4763542057653
183,54.72635726666667,25.22603365,6,0.005,0,1,0,0,0,2,3,0,1200.0
117,54.72785195,25.220176783333333,6,0.013313077153620064,0,0,0,0,0,4,2,0,450.6846862499022
115,54.69700153333333,25.23958805,6,0.005,0,0,0,0,0,0,4,2,1200.0
193,54.66154373333333,25.265094416666667,6,0.007964932589440485,0,0,0,0,0,0,6,0,753.3020440065625
113,54.707267550000005,25.235425233333334,6,0.011980575910075123,0,0,3,0,0,0,3,0,500.810649257209
158,54.70178126666667,25.213991683333333,6,0.005973976597189077,0,0,0,0,0,0,6,0,1004.3561273445845
190,54.73925336666667,25.216965033333334,6,0.0059553191865243426,0,0,0,1,0,1,4,0,1007.502673169351
111,54.65502185,25.227445683333332,6,0.00957422441254382,0,0,1,0,0,4,1,0,626.6826158930437
175,54.69895691666667,25.216124883333332,6,0.008622148698409896,0,0,0,0,0,0,4,2,695.8822226188845
133,54.72736278333334,25.27108195,6,0.012035637413214428,1,0,0,0,0,0,5,0,498.51950453511915
100,54.735112333333326,25.220902183333333,6,0.005,0,0,1,0,0,2,3,0,1200.0
35,54.69605526666667,25.43059906666667,6,0.04341213610283723,1,0,1,0,0,2,1,1,138.21019969592942
141,54.715917383333334,25.225034216666668,6,0.005,0,0,1,0,0,3,2,0,1200.0
50,54.76177993333334,25.336059233333334,6,0.02301788252241967,1,0,0,0,0,1,4,0,260.6668964513106
56,54.75402483333334,25.41369225,6,0.04492654703439532,0,0,0,0,0,0,4,2,133.5513275793588
189,54.63427358333333,25.278204149999997,6,0.017972984021209545,0,0,0,0,0,0,5,1,333.8343812535261
127,54.69462623333334,25.225920433333332,6,0.005,1,1,0,0,0,3,1,0,1200.0
181,54.7371188,25.23777315,6,0.012571923742199429,1,0,0,0,0,2,3,0,477.2539289162371
186,54.67114551666666,25.29264781666667,6,0.005,0,0,0,0,0,3,3,0,1200.0
180,54.68801608,25.21488084,5,0.01774170415874974,0,0,1,0,0,0,3,1,281.8218563031405
177,54.660494619999994,25.233784179999997,5,0.006907968192295035,0,0,0,0,0,3,2,0,723.8018272256764
187,54.72179774,25.2883736,5,0.00552435139795662,0,0,0,0,0,2,3,0,905.0836269845958
194,54.66251038,25.28411776,5,0.01252452094964553,1,0,0,0,0,0,4,0,399.2168658667548
188,54.7376793,25.25125092,5,0.009247018697624449,0,0,1,0,0,0,1,3,540.7148145255179
178,54.717926139999996,25.257493500000002,5,0.005,0,0,0,0,0,1,4,0,1000.0
